rank,age,weight,squat,bench,dl,total,dots,squat_avg_avg,squat_avg_std,second_best_sq,squat_avg_rate_change,bench_avg_avg,bench_avg_std,second_best_bn,bench_avg_rate_change,dl_avg_avg,dl_avg_std,second_best_dl,dl_avg_rate_change,previous_comp_count,num_bests,num_days,federation_enc_cb,date_enc_cb,location_enc_cb,sex_enc_cb,equip_enc_cb,class_enc_cb,month_enc_cb,year_enc_cb,season_enc_cb,country_enc_cb,state_enc_cb,federation,date,location,sex,equip,class,month,year,season,country,state
2015.0,29.0,228.1,650.3,468.4,705.4,1824.3,502.0,643.3270833333332,96.27173287588587,782.6,30.13333333333333,525.4404761904761,108.21952696197214,677.9,-3.3049999999999984,636.43125,48.7593158715261,705.4,6.616666666666673,21.0,84.0,2.0,564.3940016853379,625.0220078649099,590.3018598195697,629.5156326410066,560.7616343248296,623.4929103209279,589.5778570268957,586.2879725490801,598.2495728271896,590.3018598195697,584.7808940702254,KPF,2019-10-01,Kazakhstan,M,Raw,231,10,2019,autumn,Kazakhstan,no state
2016.0,28.0,260.9,705.4,440.9,771.6,1918.0,501.98,708.2982142857143,76.63258855330652,881.8,4.34242424242423,446.28494623655916,45.1398194819982,573.2,1.6404761904761946,709.5226666666665,45.377442511548516,750.6,-6.92156862745099,33.0,16.0,14.0,530.8706848804661,573.2332529493412,542.0808605135328,629.5156326410066,560.7616343248296,662.1598411772126,590.2245282699661,602.0561717761356,593.187145237798,542.0808605135328,584.7808940702254,EPF,2016-03-05,Estonia,M,Raw,264,3,2016,winter,Estonia,no state
2017.0,26.0,176.2,451.9,231.5,490.5,1173.9,501.97,417.15,22.07335623677457,435.39999999999986,-10.411111111111095,204.40952380952385,14.534272577775578,220.4,-6.127777777777776,447.8309523809523,22.149367578488175,466.6,-9.799999999999992,7.0,4.0,67.0,532.5662262921282,516.9577349063153,539.4531439807013,392.87895872643446,560.7616343248296,421.11107813306296,589.0880276894883,602.165298784257,602.2687504224624,576.9947067281129,584.7808940702254,IPF,2018-06-06,Canada,F,Raw,185,6,2018,spring,Canada,no state
2018.0,27.0,114.1,320.7,181.8,402.3,905.0,501.97,294.07777777777784,23.04140596597545,319.6333333333334,-6.612499999999998,159.99259259259262,16.738485078287386,176.3,-4.8125,369.6722222222222,29.820548936746448,400.1,-9.19166666666667,9.0,20.0,0.0,550.3131013887051,525.5866299196989,528.9110781330631,392.87895872643446,560.7616343248296,336.35790241294194,590.2245282699661,585.1374066582274,593.187145237798,576.9947067281129,528.9110781330631,CPU,2020-03-03,Canada-MB,F,Raw,114,3,2020,winter,Canada,MB
2019.0,23.0,274.9,815.7,440.9,694.4,1951.1,501.96,586.3955555555555,140.86074408744162,767.9,-25.71923076923077,347.0882352941177,61.46974633144574,451.9,-11.019999999999998,528.5083333333333,90.0125292204739,677.9,-17.974999999999994,18.0,115.0,0.0,612.0600680632176,634.673204718946,610.6237727768416,629.5156326410066,633.5014010502831,709.9730667415728,595.2747424611124,585.1374066582274,595.5965057790327,605.19408305804,586.8661003932458,GPC-AUS,2020-09-05,Australia-WA,M,Wraps,275,9,2020,summer,Australia,WA
2020.0,30.216328660179776,242.5,699.9,468.4,699.9,1868.4,501.95,674.8596491228069,62.920085096191826,782.6,1.2999999999999947,414.2796296296296,57.5143041473519,474.0,3.3066666666666604,672.2666666666665,29.903039389096946,733.0,3.79555555555556,20.0,0.0,79.53422845067266,568.6610039324551,649.3106823964866,572.3612575922801,629.5156326410066,633.5014010502831,672.2524456293546,590.2245282699661,608.5540058986825,593.187145237798,572.3612575922801,584.7808940702254,BAWLA,1970-03-01,UK,M,Wraps,242,3,1970,winter,UK,no state
2021.0,27.0,237.0,727.5,485.0,639.3,1851.8,501.9,639.3166666666666,67.87302524240066,705.45,-22.050000000000008,478.7833333333333,47.10223935632949,547.4333333333334,-17.639999999999993,630.1291666666666,26.934420283936767,668.6999999999998,-8.086666666666655,10.0,195.0,62.0,642.7091372815704,667.483011797365,615.3080348895644,629.5156326410066,633.5014010502831,672.2524456293546,625.0520768660061,585.1374066582274,602.2687504224624,608.2922278770715,584.7808940702254,WRPF,2020-05-16,Russia,M,Wraps,242,5,2020,spring,Russia,no state
2022.0,28.0,217.1,705.4,440.9,639.3,1785.7,501.88,664.1166666666667,26.28052193799305,691.65,-26.175000000000008,427.1333333333334,4.792007234273867,429.9,4.149999999999976,618.1666666666666,16.625983680171586,633.8,6.899999999999977,3.0,178.0,0.0,610.6331142227181,624.5980584911274,588.9950095663061,629.5156326410066,633.5014010502831,639.0066415650807,589.5778570268957,586.2879725490801,598.2495728271896,603.7017154803946,588.9950095663061,WPC,2019-10-26,USA-IL,M,Wraps,220,10,2019,autumn,USA,IL
2023.0,27.50654824531809,332.2,780.0,510.0,770.0,2060.0,501.87,526.5,298.30425742855226,775.0,-110.0,426.58333333333326,92.98409362179459,505.0,-56.25,668.5833333333334,123.98565105150945,765.0,-72.5,7.0,30.0,7.0,637.6707088524016,620.6021364792973,583.57153079969,629.5156326410066,633.5014010502831,788.457160866266,589.5778570268957,602.165298784257,598.2495728271896,603.7017154803946,583.57153079969,RPS,2018-10-13,USA-MA,M,Wraps,308+,10,2018,autumn,USA,MA
2025.0,30.0,201.7,617.3,429.9,677.9,1725.1,501.82,579.3645833333334,37.93717701413204,617.25,-11.280952380952385,385.63809523809516,39.04405597371138,417.0,-13.226666666666675,595.725,55.608637418620084,653.0999999999998,-17.05714285714285,8.0,79.0,7.0,553.3986347633138,628.6351137327479,600.876534095121,629.5156326410066,560.7616343248296,587.0188153093441,625.0520768660061,586.2879725490801,602.2687504224624,603.7017154803946,600.876534095121,USAPL,2019-05-25,USA-CA,M,Raw,205,5,2019,spring,USA,CA
